"id","year","category","subcategory","title","authors","journal","volume_issue_pages","institution","pmid","grant_id","grant_amount_usd","description","tags"
"10","2019","Article","Multi-Institution","Epidemiology and Management of HCC","Kulik L, El-Serag HB","Gastroenterology","156:477-491","Northwestern / Baylor College of Medicine","30367835","","","Comprehensive review of HCC risk stratification, surveillance, staging, and treatment. Addressed NAFLD/NASH-HCC epidemic and rising rates in Hispanic populations.","HCC,NAFLD,NASH,epidemiology,review,UTSW,BCM"
"11","2019","Grant","BCM","TeCH Center CAP Round 1","Multi-PI","","","BCM / MD Anderson Texas","","TeCH_CAP_R1","18000000","CPRIT Collaborative Action Program (CAP) award — up to $18M — establishing the Texas Collaborative Center for HCC (TeCH) as the coordinating hub for statewide HCC research.","CPRIT,TeCH,BCM,multi-institution,collaborative,CAP"
"12","2019","Grant","BCM","HCC Biomarker Validation - El-Serag","El-Serag HB","","","BCM Houston","","RP190641","3000000","Biomarker validation grant for HCC early detection research within the THCCC cohort.","CPRIT,BCM,biomarkers,HCC,early detection"
"13","2019","Grant","MD Anderson","Patient-Centered Liver Cancer Prevention - Hwang","Hwang JP","","","MD Anderson Cancer Center","","MDA_HCC_2019","2460000","Patient-centered liver cancer prevention initiative targeting at-risk populations at MD Anderson.","CPRIT,MDA,prevention,HCC,patient-centered"
"14","2019","Article","Multi-Institution","Texas HCC Consortium (THCCC) Cohort Study Design","Feng Z, Marrero JA, Khaderi S, Singal AG, Kanwal F, Loo N, Beretta L, Ning J, El-Serag HB","Am J Gastroenterol","114(3):530-532","BCM / UTSW / MD Anderson / UT San Antonio","30699099","","","Describes the THCCC 5000-patient prospective cohort design and multi-center data collection protocol.","THCCC,cohort,study design,BCM,UTSW,MDA"
"15","2019","Article","Ramirez Lab","Metformin Modifies HCC Disparity in Diabetic Men","Wang CP, Kuhn J, Shah DP, Schmidt S, Lam YF, MacCarthy D, Tenner L, Ramirez AG","Cancer Med","8(6):3206-3215","UTHSCSA San Antonio (VA Study)","30993905","","","In 84433 men with T2D, metformin was associated with reduced HCC risk with stronger effects in Hispanic and African American men.","HCC,metformin,diabetes,disparities,Latino,UTHSCSA"
"16","2020","Grant","UTSW","Cirrhosis Cohort Biomarker Surveillance - Singal","Singal AG","","","UT Southwestern Dallas","","RP200537","2500000","3000-patient cirrhosis cohort developing biomarker-based HCC surveillance algorithms.","CPRIT,UTSW,cirrhosis,surveillance,biomarkers"
"17","2020","Grant","BCM","Genetic Epidemiology of HCC in Hispanics - Thrift","Thrift AP","","","BCM Houston","","RP200554","2470000","Genetic epidemiology of HCC in Hispanics; focused on PNPLA3 and TM6SF2 variants.","CPRIT,BCM,genetics,Hispanic,epidemiology,PNPLA3,TM6SF2"
"18","2020","Article","UTSW","Epidemiology & Surveillance for HCC: New Trends","Singal AG, Lampertico P, Nahon P","J Hepatol","72(2):250-261","UT Southwestern Dallas","31954490","","","Documents shift from viral hepatitis to NAFLD/NASH as dominant HCC etiology; projects 122% increase in NAFLD-HCC by 2030.","HCC,NAFLD,NASH,epidemiology,surveillance,UTSW"
"19","2020","Article","Multi-Institution","AGA Clinical Practice Update: HCC Screening & Surveillance in NAFLD","Loomba R, Lim JK, Patton H, El-Serag HB","Gastroenterology","158(6):1822-1830","UCSD / Yale / Univ of Arizona / BCM","32006545","","","Joint AGA expert review on HCC screening in the rapidly growing NAFLD population. Addresses surveillance intervals and novel biomarkers.","HCC,NAFLD,surveillance,AGA,review,UTSW,BCM"
"20","2022","Grant","UTHSCSA","Community HCC Prevention at Safety-Net Clinics","","","","UT Health Texas","","PP220022","1960000","Community-based HCC prevention initiative at safety-net clinics targeting underserved Texas populations.","CPRIT,UTHSCSA,prevention,community,safety-net,health equity"
"21","2022","Grant","BCM","GALAD + AFP-L3 Biomarker Validation - El-Serag","El-Serag HB","","","BCM Houston","","RP220119","2000000","Validation of GALAD score and AFP-L3 as early detection biomarkers within the THCCC cohort.","CPRIT,BCM,GALAD,AFP-L3,biomarkers,early detection"
"22","2022","Grant","Multi-Institution","TeCH Center CAP Round 2","Multi-PI","","","BCM / MD Anderson / UTSW / UTHealth","","TeCH_CAP_R2","18000000","TeCH Center renewal expanding NASH-HCC research and health equity initiatives across Texas institutions.","CPRIT,TeCH,NASH,health equity,multi-institution"
"31","2022","Grant","Multi-Institution","NCI P01 — THCCC Five-Year Research Program","El-Serag HB; Kanwal F (Multi-PI)","","","BCM / VA / MD Anderson / UTSW / Parkland / UT San Antonio","","P01CA263025","5500000","NCI P01 CA263025 ($5.5M+, 5 years) funding five THCCC research projects: NAFLD risk factors, metabolic syndrome, circadian disruption, biomarker development, and randomized prevention trials.","NCI,THCCC,P01,cohort,biomarkers,NAFLD,prevention,multi-institution"
"23","2022","Article","UTSW","HCC Surveillance Improves Outcomes: Meta-Analysis","Singal AG, Zhang E, Narasimman M, Rich NE, Waljee AK, Hoshida Y, Yang JD, Reig M, Cabibbo G, Nahon P, Parikh ND, Marrero JA","J Hepatol","77(1):128-139","UT Southwestern Dallas","35139400","","","59 studies / 145396 patients: Surveillance yields 1.86x early-stage detection and 33% mortality reduction (HR 0.67).","HCC,surveillance,meta-analysis,outcomes,UTSW"
"24","2022","Article","Multi-Institution","The Texas Collaborative Center for HCC (TeCH)","Harrison AC, Kanwal F, Asrani SK, Thrift AP, Amos CI, Jibaja-Weiss ML, Montealegre JR, Hwang JP, Singal AG, El-Serag HB","Front Oncol","","BCM / MD Anderson / UTSW / UTHealth","36059708","","","Describes TeCH's multi-institutional research, education, and advocacy framework targeting reduction of Texas liver cancer mortality by 2030.","TeCH,BCM,UTSW,MDA,multi-institution,health equity"
"25","2023","Grant","TCH","Predictive Biomarkers for Pediatric HCC - Lopez-Terrada","Lopez-Terrada D","","","Texas Children's Hospital","","TCH_HCC_2023","5980000","Predictive biomarkers for pediatric HCC and hepatoblastoma at Texas Children's Hospital.","CPRIT,TCH,pediatric,hepatoblastoma,biomarkers"
"26","2023","Grant","UTSW","Molecular Mechanisms of HCC Progression - Zhong","Zhong","","","UT Southwestern Dallas","","UTSW_HCC_2023","1050000","Investigation of molecular mechanisms driving HCC progression and therapeutic targets.","CPRIT,UTSW,molecular biology,HCC,mechanisms"
"27","2023","Article","Multi-Institution","Prevention of HCC - White Paper (TeCH Consortium)","El-Serag HB, Ward JW, Asrani SK, Singal AG, Rich N, Thrift AP, Deshpande S, Turner BJ, Kaseb AO, Harrison AC, Fortune BE, Kanwal F","Clin Gastroenterol Hepatol","21(9):2183-2192","TeCH Multi-Institution Consortium","37086825","","","Consensus recommendations covering HBV vaccination, HCV cure, metabolic intervention, and health equity strategies for Hispanic Texas communities.","TeCH,prevention,HBV,HCV,health equity,Hispanic,consensus"
"28","2025","Article","BCM","HES v2.0 Outperforms GALAD for HCC Detection","El-Serag HB, Jin Q, Tayob N, Salem E, Luster M, Alsarraj A, Khaderi S, Singal AG, Marrero JA, Asrani SK, Kanwal F","Hepatology","81(2):465-475","Baylor College of Medicine / THCCC Network","38899967","","","Phase 3 biomarker evaluation: HES v2.0 (AFP + AFP-L3 + DCP + clinical variables) demonstrated superior sensitivity and specificity over GALAD for early HCC detection.","HCC,HES,GALAD,biomarkers,AFP-L3,DCP,early detection,BCM"
"29","2025","Milestone","Multi-Institution","CPRIT Surpasses $4B + NCI SPORE Designation","","","","UTSW / BCM / MD Anderson Texas","","","4000000000","CPRIT surpasses $4B total (~$59-77M to liver cancer). UT Southwestern receives the first Texas NCI SPORE for Liver Cancer with Singal, Yopp et al.","CPRIT,milestone,NCI,SPORE,UTSW,BCM,MDA"
"32","2019","Milestone","Statewide","CPRIT Discloses $46M+ Cumulative HCC Investment","","","","CPRIT / Statewide Texas","","","46000000","CPRIT disclosed more than $46M invested in HCC academic research and prevention since 2010 — reflecting the policy impact of Texas researchers documenting the state's outsized liver cancer burden. Announced alongside the Liver Cancer Collaborative Action Program (CAP) launching the TeCH Center.","CPRIT,milestone,policy,HCC,statewide,$46M,CAP,TeCH"
"33","2021","Symposium","Mays/UTHSCSA","San Antonio Liver Cancer Symposium — Inaugural Virtual Edition","","","","Mays Cancer Center, UT Health San Antonio","","","","First SALCS, held virtually October 1–2, 2021. Modeled after the San Antonio Breast Cancer Symposium. 50+ speakers from MD Anderson, Mayo Clinic, NCI, and Northwestern; covered HCC epidemiology, pre-clinical, translational, survivorship, and pediatric HCC.","SALCS,symposium,Mays Cancer Center,UTHSCSA,liver cancer,inaugural,virtual,San Antonio"
"36","2022","Symposium","Mays/UTHSCSA","San Antonio Liver Cancer Symposium 2022","Patel Arora S; Rauenzahn Cervantez S (Eds.)","Ann Palliat Med","13(4):747-748","Mays Cancer Center, UT Health San Antonio / Downtown San Antonio","38735687","","","Second SALCS, October 15–16, 2022, downtown San Antonio. Sessions: community liver cancer programs, personalized approaches for viral/non-viral HCC, current therapeutic landscape, and locoregional treatments (surgery, IR, transplant). Led to a special series in Annals of Palliative Medicine.","SALCS,symposium,Mays Cancer Center,UTHSCSA,liver cancer,HCC,San Antonio,Ann Palliat Med"
"34","2023","Symposium","Mays/UTHSCSA","San Antonio Liver Cancer Symposium 2023","","","","Mays Cancer Center, UT Health San Antonio / Hilton San Antonio Hill Country","","","","Third SALCS, October 20–21, 2023, Hilton San Antonio Hill Country. Focus on HCC disparities, NAFLD-HCC, and community programs for at-risk Hispanic populations in South Texas.","SALCS,symposium,Mays Cancer Center,UTHSCSA,liver cancer,NAFLD,Hispanic,San Antonio"
"37","2024","Symposium","Mays/UTHSCSA","San Antonio Liver Cancer Symposium 2024","Patel Arora S; Fritze D (Co-Directors)","","","Mays Cancer Center, UT Health San Antonio / Hilton Palacio del Rio","","","","Fourth SALCS, October 11–12, 2024, Hilton Palacio del Rio, San Antonio. Sessions: pediatric liver cancer, future of HCC screening and surveillance, advances in surgery, transplantation, and interventional radiology, and caregiver support. UTHSA presentation: Amelie G. Ramirez (IHPR, UT Health San Antonio): ""Hepatocellular Carcinoma in South Texas: Epidemiology and Risk Factors"".","SALCS,symposium,Mays Cancer Center,UTHSCSA,liver cancer,HCC,surveillance,San Antonio,2024"
"35","2025","Symposium","Mays/UTHSCSA","San Antonio Liver Cancer Symposium 2025","Patel Arora S; Fritze D (Co-Chairs)","","","Mays Cancer Center, UT Health San Antonio / Westin San Antonio North","","","","Fifth SALCS, October 9–11, 2025, Westin San Antonio North. Annual gathering of doctors, researchers, medical students, and patient advocates advancing liver cancer care in Texas. UTHSA presentation: Edgar Muñoz (UT Health San Antonio): ""Texas at the Epicenter: Updated Epidemiology of Liver Cancer's Multi-Factor Dynamics"".","SALCS,symposium,Mays Cancer Center,UTHSCSA,liver cancer,HCC,San Antonio,2025"
